olympic_record_id,athlete_name,age,year,medal,country,sport,event
492,"Arthur DeLancey ""Dan"" Ayrault, Jr.",25.0,1960,Gold,United States,Rowing,Rowing Men's Coxless Fours
495,Kazm Ayvaz,26.0,1964,Gold,Turkey,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
496,"Viktoriya Fyodorovna ""Vika"" Azarenko",22.0,2012,Gold,Belarus,Tennis,Tennis Mixed Doubles
497,Yelena Yuryevna Azarova,27.0,2000,Gold,Russia,Synchronized Swimming,Synchronized Swimming Women's Team
498,Yelena Yuryevna Azarova,31.0,2004,Gold,Russia,Synchronized Swimming,Synchronized Swimming Women's Team
503,Filiberto Azcuy Aguilera,23.0,1996,Gold,Cuba,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
504,Filiberto Azcuy Aguilera,27.0,2000,Gold,Cuba,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
505,Tariq Aziz,30.0,1968,Gold,Pakistan,Hockey,Hockey Men's Hockey
506,Karina Borisovna Aznavuryan,25.0,2000,Gold,Russia,Fencing,"Fencing Women's epee, Team"
507,Karina Borisovna Aznavuryan,29.0,2004,Gold,Russia,Fencing,"Fencing Women's epee, Team"
508,Jrmie Azou,27.0,2016,Gold,France,Rowing,Rowing Men's Lightweight Double Sculls
509,Jennifer Lynn Azzi,27.0,1996,Gold,United States,Basketball,Basketball Women's Basketball
510,"Christina Wilhelmina ""Stien"" Baas-Kaiser",33.0,1972,Gold,Netherlands,Speed Skating,"Speed Skating Women's 3,000 metres"
511,Tijani Babangida,22.0,1996,Gold,Nigeria,Football,Football Men's Football
512,"Jack Babashoff, Jr.",21.0,1976,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
513,Shirley Frances Babashoff,15.0,1972,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
514,Shirley Frances Babashoff,15.0,1972,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
515,Shirley Frances Babashoff,19.0,1976,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
516,Celestine Boyd Jonto Hycieth Babayaro,17.0,1996,Gold,Nigeria,Football,Football Men's Football
517,Kristen Elizabeth Babb-Sprague,23.0,1992,Gold,United States,Synchronized Swimming,Synchronized Swimming Women's Solo
518,"Henry Stoddard ""Harry"" Babcock",21.0,1912,Gold,United States,Athletics,Athletics Men's Pole Vault
519,Alonzo Carl Babers,22.0,1984,Gold,United States,Athletics,Athletics Men's 400 metres
520,Alonzo Carl Babers,22.0,1984,Gold,United States,Athletics,Athletics Men's 4 x 400 metres Relay
522,Sorin Babii,24.0,1988,Gold,Romania,Shooting,"Shooting Men's Free Pistol, 50 metres"
527,Tina Bachmann,26.0,2004,Gold,Germany,Hockey,Hockey Women's Hockey
528,Helge Gustaf Samuel Bckander,28.0,1920,Gold,Sweden,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
529,Rune Christian Bckman,25.0,2006,Gold,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey
530,"Charles James Bacon, Jr.",23.0,1908,Gold,United States,Athletics,Athletics Men's 400 metres Hurdles
532,Diana Bacosi,33.0,2016,Gold,Italy,Shooting,Shooting Women's Skeet
533,Pter Baczak,28.0,1980,Gold,Hungary,Weightlifting,Weightlifting Men's Middle-Heavyweight
534,Sunday Bada,31.0,2000,Gold,Nigeria,Athletics,Athletics Men's 4 x 400 metres Relay
536,Ioana Badea,20.0,1984,Gold,Romania,Rowing,Rowing Women's Coxed Quadruple Sculls
539,Karl Bhre,29.0,1928,Gold,Germany,Water Polo,Water Polo Men's Water Polo
541,Margaret Ann Bailes (Johnson-),17.0,1968,Gold,United States,Athletics,Athletics Women's 4 x 100 metres Relay
542,Antonio Bailetti,22.0,1960,Gold,Italy,Cycling,Cycling Men's 100 kilometres Team Time Trial
543,Aleen May Bailey,23.0,2004,Gold,Jamaica,Athletics,Athletics Women's 4 x 100 metres Relay
544,"Christina ""Chris"" Bailey",26.0,1998,Gold,United States,Ice Hockey,Ice Hockey Women's Ice Hockey
545,Donovan Bailey,28.0,1996,Gold,Canada,Athletics,Athletics Men's 100 metres
546,Donovan Bailey,28.0,1996,Gold,Canada,Athletics,Athletics Men's 4 x 100 metres Relay
547,Henry Marvin Bailey,31.0,1924,Gold,United States,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
549,Kemar Bailey-Cole,20.0,2012,Gold,Jamaica,Athletics,Athletics Men's 4 x 100 metres Relay
550,Kemar Bailey-Cole,24.0,2016,Gold,Jamaica,Athletics,Athletics Men's 4 x 100 metres Relay
553,Flix Pierre Victor Bailly,43.0,1932,Gold,France,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
554,Angie Lee Bainbridge,18.0,2008,Gold,Australia,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
555,George Hetzel Baird,21.0,1928,Gold,United States,Athletics,Athletics Men's 4 x 400 metres Relay
557,Oksana Serhivna Baiul,16.0,1994,Gold,Ukraine,Figure Skating,Figure Skating Women's Singles
558,"Wiliam Robert ""Bill"" Baker",23.0,1980,Gold,United States,Ice Hockey,Ice Hockey Men's Ice Hockey
559,Kathleen Baker,19.0,2016,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
560,Keshia Chantay Baker (-Kirtz),24.0,2012,Gold,United States,Athletics,Athletics Women's 4 x 400 metres Relay
561,Laurie Baker (-Mutch),21.0,1998,Gold,United States,Ice Hockey,Ice Hockey Women's Ice Hockey
562,Mashu Baker,21.0,2016,Gold,Japan,Judo,Judo Men's Middleweight
563,Walter Thane Baker,25.0,1956,Gold,United States,Athletics,Athletics Men's 4 x 100 metres Relay
564,"Vincent Lamont ""Vin"" Baker",28.0,2000,Gold,United States,Basketball,Basketball Men's Basketball
566,Roberto Balado Mndez,23.0,1992,Gold,Cuba,Boxing,Boxing Men's Super-Heavyweight
567,Dmitry Igorevich Balandin,21.0,2016,Gold,Kazakhstan,Swimming,Swimming Men's 200 metres Breaststroke
568,Iolanda Bala (-Ster),23.0,1960,Gold,Romania,Athletics,Athletics Women's High Jump
569,Iolanda Bala (-Ster),27.0,1964,Gold,Romania,Athletics,Athletics Women's High Jump
571,Andrs Balcz,22.0,1960,Gold,Hungary,Modern Pentathlon,Modern Pentathlon Men's Team
572,Andrs Balcz,30.0,1968,Gold,Hungary,Modern Pentathlon,Modern Pentathlon Men's Team
573,Andrs Balcz,34.0,1972,Gold,Hungary,Modern Pentathlon,Modern Pentathlon Men's Individual
574,Baldo Baldi,32.0,1920,Gold,Italy,Fencing,"Fencing Men's Foil, Team"
575,Baldo Baldi,32.0,1920,Gold,Italy,Fencing,"Fencing Men's Sabre, Team"
576,Andrea Baldini,26.0,2012,Gold,Italy,Fencing,"Fencing Men's Foil, Team"
577,Ercole Baldini,23.0,1956,Gold,Italy,Cycling,"Cycling Men's Road Race, Individual"
578,Stefano Baldini,33.0,2004,Gold,Italy,Athletics,Athletics Men's Marathon
579,Giuseppe Baldo,22.0,1936,Gold,Italy,Football,Football Men's Football
580,Marta Bald Marn,17.0,1996,Gold,Spain,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
581,Ivano Bali,25.0,2004,Gold,Croatia,Handball,Handball Men's Handball
582,"Nikolaus ""Klaus"" Balkenhol",52.0,1992,Gold,Germany,Equestrianism,"Equestrianism Mixed Dressage, Team"
583,"Nikolaus ""Klaus"" Balkenhol",56.0,1996,Gold,Germany,Equestrianism,"Equestrianism Mixed Dressage, Team"
